varName,fit1_fit,fit1_std
Tc,2.6514,2
T1,0.06807,2
Dr,1.15138,2
k1,0.3119,2
Dp,0.2557,2
k2,0.1308,2
Km2,11.7129,2
n,1,2
Ka,4.2228,2
k3,0.004,2
Km3,12.771,2
